generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
226,0,2.0,0.04028495250791535,7.125532567884709
226,1,1.5,0.011873021163139479,8.72741325844841
226,2,0.75,0.029286785535744042,8.235864520269104
226,3,3.5,0.020996500583236127,7.274040667304464
226,4,1.5,0.020746542242959506,9.102923346406827
226,5,2.25,0.047075487418763544,7.013580617558667
226,6,1.0,0.036785535744042655,9.667658991992493
226,7,1.75,0.025287452091318115,7.306081429452891
226,8,1.75,0.023329445092484587,10.116551026407677
226,9,1.25,0.028661889685052486,11.859797187109795
226,10,1.75,0.013789368438593567,9.229527808647617
226,11,3.75,0.045242459590068326,8.992922950274664
226,12,2.5,0.009956673887685386,10.043094699856262
226,13,2.25,0.039701716380603234,9.318463270658453
226,14,2.0,0.03395267455424096,11.28081644688114
226,15,3.0,0.00912347942009665,10.104384534402383
