generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
338,0,1.0,0.044989288264698876,5.979215950073514
338,1,1.25,0.027612473220661748,6.271152632961427
338,2,2.75,0.03588431325874791,6.100911228928402
338,3,1.5,0.028624137110211854,6.239947477387079
338,4,1.0,0.027076886455605804,6.69549782653276
338,5,0.25,0.01410378481313973,6.221125279965357
338,6,3.75,0.02552963580099976,5.080438957469601
338,7,3.0,0.016722208997857653,5.801355093481696
338,8,3.25,0.01904308497976672,6.0180816522217935
338,9,2.0,0.023982385146393715,6.299689094251577
338,10,0.75,0.05058319447750536,5.948350026169595
338,11,3.0,0.028743156391335397,5.724702790725361
338,12,1.75,0.035289216853130204,7.189283542838714
338,13,3.5,0.026898357533920496,7.411715126291567
338,14,1.75,0.032968340871221136,7.680893580205127
338,15,2.25,0.014877410140442752,8.007174244218357
