opponentGeneration,avgFitness,maxFitness,minFitness,avgFoodEaten,avgTimeAlive,avgGrouping,survivalRate
0,99.23476668601813,474.77146976658537,0.0,0.91796875,19.98408203124947,0.24324633169783377,0.0
5,95.50783999629472,472.0562814510491,0.0,0.953125,20.097526041666143,0.2093897542121829,0.0
10,102.21971788929947,599.0154999975226,0.0,0.84375,19.691764322916182,0.20666601092390297,0.0
15,123.74609640413199,856.7164971690637,0.0,1.02734375,19.778157552082828,0.19493351925569344,0.0
20,121.28164101520103,694.1141252412639,0.0,1.01953125,19.91936848958282,0.20455413349379747,0.0
25,137.05436079101975,1085.0534128582776,0.0,1.140625,19.40390624999953,0.23268405156452507,0.0
30,121.89702148551584,569.7864099494022,0.0,1.0546875,19.325618489582858,0.17587020922051477,0.0
35,109.2418162947638,365.01188932481983,0.0,0.87890625,19.003938802082864,0.21071763330864654,0.0
36,98.61811739673472,601.9411889687088,0.0,0.73046875,18.5175130208329,0.1990560197185706,0.0
