opponentGeneration,avgFitness,maxFitness,minFitness,avgCatches,avgTeamHunt,avgSurvival,totalFitness
0,36.81973406240129,246.2432426480898,0.0,0.46875,0.0011412817070912793,94.09635416666453,36.81973406240129
5,106.73658936740017,386.18262219564247,0.0,0.875,0.005684711164599148,117.55468749999653,106.73658936740017
10,310.22173525378116,989.9133106113079,0.0,2.0625,0.016249161034993524,137.09244791666214,310.22173525378116
15,407.9564860026415,1135.9935188493505,0.0,2.59375,0.01781137173671542,146.61979166666157,407.9564860026415
20,309.6379902974528,805.0633498310983,0.0,2.03125,0.0020308739122384743,131.41406249999577,309.6379902974528
25,363.42320991197295,941.1592523085219,0.0,2.3125,0.02532083179040918,137.28515624999542,363.42320991197295
30,376.6437057761303,1659.177952452598,0.0,2.375,0.014515541103499355,135.67578124999545,376.6437057761303
35,343.0490713416829,940.9236352461587,0.0,2.1875,0.011903177652286611,136.90364583332877,343.0490713416829
36,344.0940247097427,1408.9515518153264,0.0,2.28125,0.009034785224958338,133.1315104166623,344.0940247097427
