generationNo,genotypeID,timeAlive,alive,groupingScore
140,0,29.38697916666554,0.375,0.2519684219296784
140,1,31.661458333332174,0.1875,0.306438510248292
140,2,29.91874999999884,0.375,0.18633352774537576
140,3,32.667187499998676,0.375,0.35897142142976174
140,4,33.35989583333197,0.4375,0.259612981169805
140,5,33.91354166666531,0.5,0.3579403432761206
140,6,38.47552083333176,0.625,0.40058948508581904
140,7,33.16614583333202,0.4375,0.31323946008998504
140,8,37.904687499998445,0.375,0.43100108315280783
140,9,41.20416666666495,0.5625,0.31117730378270286
140,10,36.46354166666513,0.5625,0.29652349608398604
140,11,28.092187499998946,0.375,0.16266038993501084
140,12,35.64843749999858,0.5,0.3451403932677888
140,13,37.812499999998465,0.4375,0.3447654557573738
140,14,38.36093749999845,0.375,0.3181865522412931
140,15,34.81302083333197,0.4375,0.39075779036827196
