generationNo,genotypeID,timeAlive,alive,groupingScore
208,0,34.828645833331954,0.4375,0.32269621729711717
208,1,36.53020833333186,0.5625,0.35678428595234124
208,2,32.93645833333203,0.4375,0.3782182136310615
208,3,27.178124999999028,0.375,0.2631748875187469
208,4,32.164062499998764,0.4375,0.29422179636727214
208,5,41.009374999998315,0.5,0.4605378270288285
208,6,37.790624999998464,0.5,0.3446300616563906
208,7,31.931249999998794,0.375,0.3833840193301117
208,8,38.874479166665076,0.5,0.3742813697717047
208,9,29.72552083333229,0.25,0.26023787702049656
208,10,34.56406249999866,0.375,0.3173221129811698
208,11,35.54999999999858,0.4375,0.48962672887852027
208,12,34.46197916666535,0.375,0.41614939176803867
208,13,31.566666666665476,0.3125,0.29047242126312284
208,14,37.394791666665114,0.625,0.43058448591901344
208,15,33.22447916666538,0.4375,0.37434385935677394
