step,species,genotypeID,agentIndex,x,y,vx,vy,alive,msg0,msg1,receivedMessage0,receivedMessage1,move0,move1,nearestEnemyDist,nearestAllyDist,visibleEnemyCount,visibleAllyCount
0,predator,0,0,-5.637905597686768,7.616171836853027,-9.191589924739674e-06,1.165279172710143e-05,True,0.5967988967895508,-5.715916156768799,0.0,0.0,-1.394493818283081,-3.350198984146118,0.46957463026046753,4.0,3,0
0,predator,1,1,8.937971115112305,-4.996950626373291,-9.191589924739674e-06,1.165279172710143e-05,True,3.3335108757019043,-2.0529229640960693,0.0,0.0,3.435706615447998,0.45435142517089844,0.7546213865280151,4.0,1,0
0,predator,2,2,-9.705024719238281,1.6393709182739258,-9.191589924739674e-06,1.165279172710143e-05,True,4.613120079040527,-1.6338138580322266,0.0,0.0,2.248070478439331,-2.405470132827759,1.5761715173721313,4.0,3,0
0,predator,3,3,-5.810433864593506,-1.823761224746704,-9.191589924739674e-06,1.165279172710143e-05,True,-0.3537447452545166,-0.8902170658111572,0.0,0.0,2.3551864624023438,-5.373524188995361,1.6617966890335083,4.0,3,0
0,prey,0,0,4.964921474456787,0.5664689540863037,-6.829953781561926e-05,-2.3894801415735856e-05,True,4.142673969268799,1.098407506942749,0.0,0.0,4.616994857788086,-4.3776397705078125,4.0,3.640653371810913,0,2
0,prey,1,1,-5.404845237731934,8.02382755279541,-6.829953781561926e-05,-2.3894801415735856e-05,True,0.6044939756393433,-0.3626863956451416,0.0,0.0,4.19145393371582,-2.373610496520996,0.46957463026046753,2.284968137741089,1,2
0,prey,2,2,-3.6616246700286865,1.3927005529403687,-6.829953781561926e-05,-2.3894801415735856e-05,True,-0.02085845172405243,-3.0371387004852295,0.0,0.0,2.07218337059021,-2.4544458389282227,3.8682045936584473,3.445345401763916,1,1
0,prey,3,3,-5.252052307128906,-5.943592548370361,-6.829953781561926e-05,-2.3894801415735856e-05,True,3.708099365234375,1.8970720767974854,0.0,0.0,3.500663995742798,-4.185586929321289,4.0,3.6990156173706055,0,1
0,prey,4,4,-7.356515884399414,-2.4330220222473145,-6.829953781561926e-05,-2.3894801415735856e-05,True,1.6650832891464233,1.6468337774276733,0.0,0.0,5.1821417808532715,-7.182135105133057,1.6617966890335083,2.9631171226501465,1,1
0,prey,5,5,4.920358180999756,-6.414377212524414,-6.829953781561926e-05,-2.3894801415735856e-05,True,2.50124454498291,-0.13177542388439178,0.0,0.0,6.4685163497924805,-6.666904449462891,4.0,3.075590133666992,0,1
0,prey,6,6,-9.182104110717773,-0.0990787222981453,-6.829953781561926e-05,-2.3894801415735856e-05,True,0.7684635519981384,2.9799020290374756,0.0,0.0,-1.1202722787857056,-2.9446043968200684,1.8153934478759766,2.236294746398926,2,2
0,prey,7,7,-4.312624454498291,6.016806602478027,-6.829953781561926e-05,-2.3894801415735856e-05,True,1.7505275011062622,1.8844126462936401,0.0,0.0,-2.316284418106079,-0.888286828994751,2.077098846435547,1.9181023836135864,1,3
0,prey,8,8,-0.33002573251724243,-8.12007999420166,-6.829953781561926e-05,-2.3894801415735856e-05,True,1.6999056339263916,-2.643998622894287,0.0,0.0,5.577237606048584,-4.317123889923096,4.0,1.6909579038619995,0,1
0,prey,9,9,-8.147907257080078,1.8837100267410278,-6.829953781561926e-05,-2.3894801415735856e-05,True,1.4829888343811035,2.3524131774902344,0.0,0.0,4.249635219573975,-0.5031518936157227,1.5761715173721313,2.236294746398926,1,2
0,prey,10,10,9.472049713134766,-4.463833808898926,-6.829953781561926e-05,-2.3894801415735856e-05,True,0.4613664746284485,-1.129250407218933,0.0,0.0,3.0711591243743896,-2.9267265796661377,0.7546213865280151,4.0,1,0
