generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
255,0,1.0,0.016154415848916866,10.471581460155893
255,1,1.5,0.024301055360118496,9.860892723267044
255,2,2.75,0.06031290501758933,6.942768645913397
255,3,3.0,0.05096278466950565,8.245409841663891
255,4,5.0,0.02152379189039067,9.675902151723214
255,5,1.5,0.009535271246065543,11.136141786152809
255,6,0.75,0.01680244399185336,10.822515551150508
255,7,2.0,0.0035178670616552487,9.914169217293804
255,8,5.0,0.0318459544528791,8.307484569762938
255,9,3.0,0.011340492501388633,11.451297880713035
255,10,0.75,0.034067765228661354,9.51775534418452
255,11,1.25,0.03054989816700611,9.17374066066861
255,12,2.0,0.04323273467876319,8.080539340515795
255,13,2.75,0.04610257359748195,6.402654135833899
255,14,2.0,0.07674504721347898,6.566344754695561
255,15,2.0,0.0560081466395112,7.434236494821876
