generationNo,genotypeID,timeAlive,alive,groupingScore
271,0,32.19479166666548,0.3125,0.42614793556748753
271,1,22.730729166665895,0.25,0.359806054434364
271,2,37.25520833333186,0.625,0.5527217182003332
271,3,33.69583333333206,0.4375,0.4494422329198297
271,4,35.64114583333191,0.625,0.40828087391223844
271,5,36.36249999999853,0.6875,0.4730258285502684
271,6,28.029687499999003,0.3125,0.4111622847620811
271,7,33.280208333332084,0.4375,0.4438182743936308
271,8,32.19947916666548,0.3125,0.46482132938344745
271,9,31.598437499998813,0.25,0.4925823921496019
271,10,34.08385416666533,0.5,0.44341325680429544
271,11,29.258854166665646,0.3125,0.37782355119422334
271,12,25.895833333332472,0.25,0.42554619514904657
271,13,28.797916666665632,0.3125,0.3583711349750046
271,14,36.68541666666522,0.625,0.4296658026291428
271,15,31.15208333333221,0.375,0.44870162932790225
