generationNo,genotypeID,catches,teamHuntScore,meanCommMagnitude,timeAlive,finalEnergy
98,0,0.25,0.0,7.327841548481526,16.902083333333014,0.0
98,1,0.0,0.0,7.322554152261496,16.887499999999683,0.0
98,2,0.0,0.0,7.951278825237946,14.264583333333164,0.0
98,3,0.25,0.0,6.989780358304042,13.895833333333185,0.0
98,4,0.5,0.0,6.904413767689887,18.86249999999957,0.0
98,5,0.25,0.0,7.344001869417172,16.34166666666638,0.0
98,6,0.25,0.0,7.507451241053034,16.214583333333053,0.0
98,7,0.0,0.0,7.177633431463869,14.38541666666649,0.0
98,8,0.0,0.0,7.718800226898152,15.266666666666442,0.0
98,9,0.5,0.0,7.081075996062702,14.893749999999795,0.0
98,10,0.0,0.0,6.850903071558454,14.647916666666475,0.0
98,11,0.0,0.0,7.304541280482292,14.229166666666499,0.0
98,12,0.5,0.0,7.6101833804183165,18.845833333332905,0.0
98,13,0.5,0.0,7.64472537075561,16.374999999999712,0.0
98,14,0.75,0.0,7.177262555235488,16.0166666666664,0.0
98,15,0.25,0.0,6.9569856948842315,14.558333333333147,0.0
