generationNo,genotypeID,timeAlive,alive,groupingScore
352,0,27.436979166665708,0.4375,0.3449773863365866
352,1,25.76041666666579,0.5625,0.24601285408236134
352,2,21.671874999999382,0.1875,0.28444120447512494
352,3,26.777604166665753,0.4375,0.2884134729826232
352,4,27.361458333332386,0.5625,0.32974291835277314
352,5,25.579166666665802,0.4375,0.339651273506308
352,6,22.858333333332567,0.375,0.3188080218995477
352,7,25.269791666665874,0.25,0.34613782432754103
352,8,28.08072916666568,0.625,0.3795227326826946
352,9,22.095312499999316,0.4375,0.22271482980242796
352,10,24.920833333332528,0.5625,0.2455516543680076
352,11,26.956249999999113,0.5,0.35417162580338013
352,12,20.968229166666028,0.375,0.25801892406569865
352,13,28.413541666665697,0.5625,0.45919126398476556
352,14,26.283333333332447,0.375,0.30821530587955254
352,15,22.984374999999233,0.375,0.21845989050226136
