generationNo,genotypeID,timeAlive,alive,groupingScore
200,0,29.43385416666563,0.25,0.28998291951341437
200,1,32.75989583333204,0.375,0.2786514747542076
200,2,26.349479166665734,0.25,0.2745063322779537
200,3,33.75572916666532,0.4375,0.30927137143809363
200,4,41.36614583333163,0.5625,0.4499562572904516
200,5,32.809374999998695,0.4375,0.2422617063822696
200,6,31.61979166666547,0.3125,0.269600899850025
200,7,32.21458333333214,0.3125,0.312427095484086
200,8,39.17447916666505,0.5625,0.3090422429595068
200,9,27.52291666666567,0.3125,0.24145975670721545
200,10,34.2359374999987,0.4375,0.39901683052824527
200,11,33.40520833333199,0.4375,0.3746771371438094
200,12,25.753124999999176,0.1875,0.337870771538077
200,13,37.22916666666518,0.5625,0.37718713547742044
200,14,29.483854166665562,0.3125,0.2973254457590402
200,15,35.3562499999986,0.3125,0.3414118480253291
