generationNo,genotypeID,timeAlive,alive,groupingScore
80,0,13.5932291666662,0.75,0.5711607886698139
80,1,13.543749999999534,0.75,0.664745903915579
80,2,10.791666666666314,0.625,0.5163669813940572
80,3,12.107552083332939,0.75,0.433560122188281
80,4,13.659374999999525,0.75,0.6188038044987503
80,5,12.519791666666244,0.75,0.4899507081366287
80,6,11.676822916666294,0.625,0.5301305193001944
80,7,13.825781249999528,0.875,0.5032803387947792
80,8,13.64739583333286,0.875,0.5042002221605109
80,9,12.124479166666264,0.75,0.3654887531241322
80,10,11.750520833332951,0.625,0.43883643432379893
80,11,12.104427083332947,0.6875,0.5386871702304915
80,12,14.466927083332834,0.875,0.6387982504859762
80,13,12.116666666666267,0.625,0.4738440710913635
80,14,13.734374999999522,0.875,0.5474520966398223
80,15,12.282031249999603,0.6875,0.6123819772285477
