generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
289,0,2.25,0.031151638585447138,9.536076621582687
289,1,2.25,0.04425106461766339,9.449383709028604
289,2,5.25,0.014580633216071096,9.99664966825522
289,3,2.25,0.06105350860951675,9.231331893897977
289,4,2.5,0.028790964636178487,7.939926031636896
289,5,4.75,0.03508609516756156,8.488825455586616
289,6,1.25,0.013608591001666358,8.990443829529111
289,7,3.25,0.039066839474171444,7.668773772654005
289,8,2.5,0.036104425106461766,7.337827303809461
289,9,3.25,0.035039807443066104,6.946312346147886
289,10,2.5,0.03809479725976671,7.1075340604033315
289,11,2.25,0.027957785595260135,7.6959817678279805
289,12,3.75,0.03712275504536197,8.000165893901965
289,13,3.25,0.06568228105906314,7.808956759571587
289,14,3.5,0.0474449176078504,8.318197923151846
289,15,1.75,0.04244584336234031,8.505018530220726
