generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
326,0,2.75,0.039930968816948346,6.435013641350341
326,1,2.25,0.04600095215424899,7.588949177844258
326,2,2.5,0.026422280409426326,7.345126430466116
326,3,3.5,0.015710545108307546,7.338532600921623
326,4,1.75,0.05058319447750535,6.552428532218867
326,5,3.5,0.026303261128302786,6.014672996353475
326,6,2.0,0.033444417995715306,6.737223385932744
326,7,1.75,0.04903594382289932,7.336043002239524
326,8,2.75,0.018805046417519636,6.680042455791789
326,9,2.0,0.025886693644370386,5.622764790862961
326,10,1.75,0.02666031897167341,6.925297976501412
326,11,2.25,0.002023327779100214,5.929923373140825
326,12,3.5,0.009878600333253988,5.667641307283402
326,13,2.0,0.044394191859081174,8.193623211849335
326,14,2.0,0.03707450606998334,7.244851299396401
326,15,1.25,0.033444417995715306,6.434221833584295
