generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
333,0,1.75,0.05272554153772911,6.135637537923648
333,1,2.25,0.06468697929064508,6.734879954592355
333,2,2.5,0.05385622470840276,7.192424280995047
333,3,2.25,0.0402285170197572,7.226682411187094
333,4,1.5,0.010949773863365864,6.023498552887958
333,5,2.5,0.028326588907403,6.204481425909052
333,6,1.75,0.033384908355153536,6.252488539731309
333,7,2.0,0.021006903118305165,5.397126988828593
333,8,2.0,0.006724589383480124,8.169175298114357
333,9,1.75,0.007855272554153773,8.008375075415852
333,10,3.75,0.00023803856224708403,8.093978150781634
333,11,2.75,0.003987145917638658,7.529307019847812
333,12,1.0,0.011425850987860033,7.303258890533939
333,13,2.25,0.03987145917638657,6.262350169681517
333,14,3.0,0.02814805998571769,7.116611263610315
333,15,2.75,0.04296596048559867,7.123684710516401
