generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
125,0,1.75,0.011248125312447926,8.436232008674388
125,1,3.25,0.04349275120813198,8.118578556761793
125,2,2.25,0.04670054990834861,7.951532702470269
125,3,3.0,0.01428928511914681,7.564135355016051
125,4,1.0,0.044117647058823525,9.10396044940834
125,5,2.0,0.04399266788868522,9.02063396436868
125,6,3.25,0.046908848525245794,7.848054346667441
125,7,2.75,0.03636893851024829,8.081822201782188
125,8,3.0,0.02870354940843193,9.426135601404756
125,9,4.5,0.025579070154974168,7.888212199660117
125,10,3.5,0.037410431594734214,8.284731638912527
125,11,1.75,0.016497250458256958,9.422235235036752
125,12,3.75,0.015205799033494418,8.918190725086887
125,13,3.0,0.02495417430428262,9.736419618219124
125,14,3.5,0.01799700049991668,9.079831084686257
125,15,2.0,0.032327945342442925,10.647668372870108
