generationNo,genotypeID,catches,teamHuntScore,meanCommMagnitude,timeAlive,finalEnergy
71,0,0.25,0.0,7.296498840678927,17.50833333333298,0.0
71,1,0.25,9.257544899092761e-05,7.319291679143194,15.049999999999788,0.0
71,2,0.25,0.0,6.943854125001751,14.370833333333158,0.0
71,3,0.0,9.257544899092761e-05,7.324786976979823,13.735416666666527,0.0
71,4,0.0,0.0008794667654138123,6.868596816111626,14.877083333333129,0.0
71,5,0.25,0.0,6.848211597633842,15.499999999999762,0.0
71,6,0.0,0.0,7.101558462353292,14.089583333333174,0.0
71,7,0.25,0.0008794667654138123,7.057799748299511,13.939583333333182,0.0
71,8,0.25,0.0,6.938390788809555,16.337499999999714,0.0
71,9,0.0,0.00851694130716534,6.932002828084156,14.624999999999812,0.0
71,10,0.0,0.0,7.533322355050032,14.589583333333145,0.0
71,11,0.25,0.00851694130716534,6.4258529023064686,13.783333333333191,0.0
71,12,0.25,0.0,6.819007722881612,16.318749999999717,0.0
71,13,0.0,0.0,7.0800459762442385,15.679166666666418,0.0
71,14,0.0,0.0,6.8240684306312,15.185416666666445,0.0
71,15,0.25,0.0,7.013803206082595,14.195833333333168,0.0
