generationNo,genotypeID,timeAlive,alive,groupingScore
242,0,28.675520833332314,0.375,0.28360488798370675
242,1,29.054687499998956,0.25,0.3088316978337345
242,2,30.58906249999887,0.4375,0.28831466395112015
242,3,25.881770833332403,0.25,0.24902795778559525
242,4,31.52812499999885,0.4375,0.36713108683577117
242,5,31.416145833332195,0.3125,0.4415848916867247
242,6,24.329166666665813,0.375,0.31951259026106277
242,7,37.399479166665174,0.5625,0.42282679133493795
242,8,30.683333333332172,0.5,0.32315774856508056
242,9,34.74531249999863,0.5,0.2585748009627847
242,10,29.409374999998903,0.25,0.3250902610627661
242,11,34.84427083333196,0.5,0.36524486206258105
242,12,30.25260416666559,0.4375,0.28534067765228655
242,13,31.17395833333217,0.375,0.3710192556933901
242,14,28.02395833333232,0.375,0.29687789298278094
242,15,31.157812499998805,0.4375,0.3240256433993705
