generationNo,genotypeID,foodEaten,timeAlive,groupingScore,meanCommMagnitude,finalEnergy
23,0,2.25,45.00833333333142,0.544621366413627,1.385250446980502,42.46770833332046
23,1,1.25,45.00833333333142,0.18177189409368635,1.248923002628208,39.224479166653495
23,2,0.0,45.00833333333142,0.5214543603036474,1.2747453520201397,32.337499999984686
23,3,1.5,45.00833333333142,0.5640622107017219,1.411984852219607,35.471354166652006
23,4,1.0,44.509374999998116,0.2817302351416404,1.2110797444458825,45.666145833321025
23,5,0.5,42.357291666664906,0.6054202925384188,1.5150723164013784,39.35729166665295
23,6,0.875,45.00833333333142,0.3671773745602666,1.3981279571697742,46.920312499988
23,7,3.125,43.379166666664844,0.41367339381595997,1.3139973835417147,65.9229166666589
23,8,0.75,45.00833333333142,0.33898815034252916,1.539649844989891,41.201562499986636
23,9,0.625,43.89895833333148,0.5841742269950009,1.254255749111234,41.16249999998672
23,10,0.125,41.86979166666493,0.5427698574338086,1.28466261850511,40.005729166653076
23,11,0.75,38.81562499999838,0.4762775411960748,1.2750176449527544,42.42031249998717
23,12,0.0,40.110416666665,0.3010785039807443,1.164309777092679,39.753124999986326
23,13,0.5,40.86770833333165,0.7181540455471209,1.2606445015377923,46.894791666654626
23,14,1.625,38.01874999999849,0.24458433623403075,1.1099930028090559,52.06770833332265
23,15,0.25,45.00833333333142,0.27300499907424547,1.4534664503609946,37.531770833319285
23,16,0.375,40.57812499999834,0.6572625439733383,1.0936234888622915,41.369791666653384
23,17,0.5,37.75104166666509,0.27608313275319385,1.077390921156087,45.88489583332128
23,18,0.5,43.0593749999982,0.5051610812812442,1.5557182067341329,38.03593749998592
23,19,1.375,40.07083333333166,0.31746435845213844,1.2779445603060167,48.244270833322176
23,20,0.125,45.00833333333142,0.3730327717089428,1.369996450064606,36.62395833331922
23,21,0.625,44.50833333333145,0.4086511757082022,1.4052061006435261,36.07447916665217
23,22,0.125,45.00833333333142,0.3249861136826514,1.2604190007383596,32.52604166665183
23,23,1.5,42.18645833333157,0.31947787446769116,1.0916206812102556,38.76770833331959
23,24,0.875,39.640624999998394,0.5495510090723941,1.000962882579805,40.67343749998734
23,25,0.375,45.00833333333142,0.2409507498611368,1.0602923016315797,35.66510416665211
23,26,0.125,40.447916666665016,0.533234586187743,1.3422436438134626,39.32552083331954
23,27,0.25,45.00833333333142,0.5941029438992779,1.3666200774320543,34.8703124999852
23,28,0.875,45.00833333333142,0.24342714312164415,1.248499628612687,39.31458333332043
23,29,0.75,44.429166666664784,0.4501712645806333,1.3409494564885238,35.435937499985556
23,30,2.25,41.16145833333164,0.314918533604888,1.2604612970301892,55.834895833323884
23,31,0.375,44.96979166666475,0.23414645436030362,1.2308126619090671,34.767708333319135
