generationNo,genotypeID,catches,teamHuntScore,meanCommMagnitude,timeAlive,finalEnergy
82,0,0.0,0.0,1.404133260959145,45.00833333333142,29.88333333331918
82,1,0.0,0.0,1.9158238707052693,45.00833333333142,31.924999999984802
82,2,3.0,0.0,2.132285889009815,45.00833333333142,53.48333333332519
82,3,0.0,0.0,1.4792964730444185,45.00833333333142,22.695833333322714
82,4,0.0,0.0,1.3310685202609034,45.00833333333142,32.424999999984664
82,5,0.0,0.0,1.5551255777398207,45.00833333333142,32.27916666665136
82,6,2.0,0.0,1.4637446448778006,45.00833333333142,26.79999999998917
82,7,0.0,0.0,1.798002503264659,45.00833333333142,29.299999999986092
82,8,0.0,0.0,1.4404402960369795,45.00833333333142,31.61249999998491
82,9,0.0,0.0,1.5647499857815608,45.00833333333142,24.320833333321072
82,10,0.0,0.0,2.016819266459276,45.00833333333142,30.799999999985378
82,11,0.0,0.0,1.4510179317686165,45.00833333333142,24.424999999988376
82,12,0.0,0.0,1.3678244813777323,45.00833333333142,31.904166666651477
82,13,0.0,0.0,1.6212122866018595,45.00833333333142,31.862499999984834
82,14,1.0,0.0,1.2342444365249918,45.00833333333142,55.30833333332325
82,15,0.0,0.0,1.4009395002397294,45.00833333333142,7.987499999993636
82,16,0.0,0.0,1.3288657062888212,45.00833333333142,30.091666666652404
82,17,0.0,0.0,1.7528269203961546,45.00833333333142,26.737499999987143
82,18,0.0,0.0,1.860525260499574,45.00833333333142,31.716666666651573
82,19,1.0,0.0,1.575939600400584,45.00833333333142,63.945833333319925
82,20,0.0,0.0,1.6113697474664106,45.00833333333142,30.11249999998573
82,21,0.0,0.0,1.846818265865697,45.00833333333142,28.529166666653193
82,22,0.0,0.0,1.8090043839752132,45.00833333333142,15.174999999993055
82,23,0.0,0.0,1.3369932083829954,45.00833333333142,32.36249999998468
82,24,0.0,0.0,1.5077717323845965,45.00833333333142,28.570833333319733
82,25,1.0,0.0,1.5718785428108053,45.00833333333142,46.51249999998923
82,26,1.0,0.0,1.4757080472739532,45.00833333333142,71.69583333331816
82,27,0.0,0.0,1.3040113463912313,45.00833333333142,31.75833333331822
82,28,0.0,0.019255693390112943,1.5975745325341442,45.00833333333142,30.21666666665234
82,29,0.0,0.0,1.2361732175771318,45.00833333333142,17.237499999992302
82,30,0.0,0.0,1.402918665180315,45.00833333333142,29.404166666652706
82,31,1.0,0.019255693390112943,1.648720089019923,45.00833333333142,66.67499999998597
