generationNo,genotypeID,timeAlive,alive,groupingScore
180,0,22.168749999999235,0.125,0.43665524902795777
180,1,33.40104166666537,0.5625,0.34650990557304207
180,2,31.921874999998792,0.4375,0.33019348268839105
180,3,30.296354166665516,0.4375,0.4461095167561563
180,4,31.83697916666549,0.5,0.33888400296241433
180,5,35.78645833333194,0.625,0.43335724865765596
180,6,31.60572916666543,0.4375,0.3482804110349935
180,7,35.60468749999862,0.625,0.5138631734863914
180,8,32.618749999998684,0.6875,0.42709683391964454
180,9,28.467708333332297,0.4375,0.5749629698204036
180,10,34.647916666665324,0.625,0.5137821699685243
180,11,33.45052083333208,0.4375,0.47560636919089055
180,12,34.33489583333191,0.625,0.39808600259211263
180,13,41.48697916666495,0.8125,0.44485974819477875
180,14,35.157291666665316,0.4375,0.42015367524532493
180,15,29.39895833333227,0.375,0.5946699685243473
