generationNo,genotypeID,catches,teamHuntScore,meanNearestPreyDistance
299,0,3.75,0.028883540085169412,8.728624553204277
299,1,1.5,0.03193852990187002,8.001037245126945
299,2,2.75,0.030827624513978892,9.255557523857906
299,3,2.5,0.04253841881133123,8.99904802012854
299,4,2.75,0.04827809664876874,9.527422318891329
299,5,2.75,0.03360488798370672,8.061606974865006
299,6,2.25,0.03314201073875209,7.986386902198551
299,7,1.75,0.02754119607480096,7.852401398005055
299,8,4.5,0.04267728198481763,7.262554200204395
299,9,1.0,0.03374375115719311,8.575792413351824
299,10,2.75,0.023699314941677464,7.972403292237079
299,11,2.25,0.03536382151453435,7.818394501845807
299,12,2.5,0.031521940381410846,7.288747589260621
299,13,2.75,0.01814478800222181,9.177565085836317
299,14,2.0,0.023236437696722827,7.706329503860701
299,15,3.0,0.023190149972227368,8.262866291552204
