generationNo,genotypeID,catches,teamHuntScore,meanCommMagnitude,timeAlive,finalEnergy
42,0,1.0,0.0,1.7396533938049674,25.008333333332555,86.49166666666535
42,1,0.0,0.11062979006997667,1.4330729879277502,25.008333333332555,55.12083333332522
42,2,0.0,0.0,2.2421135443105413,25.008333333332555,57.35416666665843
42,3,4.0,0.11062979006997667,1.4950168391082017,25.008333333332555,92.05833333333173
42,4,2.0,0.0,1.3209469639527047,25.008333333332555,96.98333333333271
42,5,2.0,0.0,1.0888531259926746,25.008333333332555,93.13749999999845
42,6,0.0,0.0,1.8842374403768283,25.008333333332555,60.27083333332493
42,7,1.0,0.0,1.199192929862738,25.008333333332555,90.837499999999
42,8,0.0,0.0,2.5571214084385314,25.008333333332555,55.970833333325174
42,9,2.0,0.0,1.7246158942555396,25.008333333332555,83.5458333333296
42,10,0.0,0.0,1.988552581872673,25.008333333332555,53.27083333332533
42,11,0.0,0.0,1.5709657508138815,25.008333333332555,60.22083333332493
42,12,2.0,0.2049316894368544,1.6166947541366772,25.008333333332555,93.12916666666517
42,13,0.0,0.0,1.6179597243264452,25.008333333332555,62.037499999991496
42,14,1.0,0.0,0.9902650570544709,25.008333333332555,84.97083333333116
42,15,2.0,0.2049316894368544,1.650832288488572,25.008333333332555,91.6124999999987
42,16,1.0,0.0,1.6014249798845188,25.008333333332555,66.93333333332889
42,17,0.0,0.0,1.9363035065944654,25.008333333332555,59.22083333332499
42,18,2.0,0.07364211929356881,2.207372131972502,25.008333333332555,98.7333333333331
42,19,3.0,0.07364211929356881,1.367463594524116,25.008333333332555,94.64999999999878
42,20,1.0,0.0,2.7497306737958174,25.008333333332555,97.82499999999952
42,21,0.0,0.0,2.2049276709496994,25.008333333332555,56.28749999999182
42,22,0.0,0.0,1.691891674998799,25.008333333332555,61.23749999999154
42,23,0.0,0.0,1.175051736706537,25.008333333332555,58.08749999999172
42,24,0.0,0.0,1.932601304724192,25.008333333332555,60.00416666665828
42,25,0.0,0.0,1.1228373481760776,25.008333333332555,59.05416666665833
42,26,0.0,0.0,2.0031802280620115,25.008333333332555,57.57083333332508
42,27,0.0,0.0,1.9236590701196639,25.008333333332555,55.55416666665853
42,28,0.0,0.09830056647784072,1.364644482823679,25.008333333332555,59.97083333332495
42,29,0.0,0.0,1.9117429083841955,25.008333333332555,57.82083333332507
42,30,0.0,0.0,2.2053118855138494,25.008333333332555,59.38749999999165
42,31,0.0,0.09830056647784072,1.718000718213367,25.008333333332555,49.120833333325564
